age,height,sex,ethnic,errors,fev1_predicted,fev1_lln,fev1_uln,fev1_z,fev1_pp,fvc_predicted,fvc_lln,fvc_uln,fvc_z,fvc_pp,fev1fvc_predicted,fev1fvc_lln,fev1fvc_uln,fev1fvc_z,fev1fvc_pp,fef2575_predicted,fef2575_lln,fef2575_uln,fef2575_z,fef2575_pp,fef75_predicted,fef75_lln,fef75_uln,fef75_z,fef75_pp,fev075_predicted,fev075_lln,fev075_uln,fev075_z,fev075_pp,fev075fvc_predicted,fev075fvc_lln,fev075fvc_uln,fev075fvc_z,fev075fvc_pp,tlco_predicted,tlco_lln,tlco_uln,tlco_z,tlco_pp,dlco_predicted,dlco_lln,dlco_uln,dlco_z,dlco_pp,kcosi_predicted,kcotr_predicted,kcosi_lln,kcosi_uln,kcotr_lln,kcotr_uln,kcosi_z,kcosi_pp,kcotr_z,kcotr_pp,va_predicted,va_lln,va_uln,va_z,va_pp,frc_predicted,frc_lln,frc_uln,frc_z,frc_pp,tlc_predicted,tlc_lln,tlc_uln,tlc_z,tlc_pp,rv_predicted,rv_lln,rv_uln,rv_z,rv_pp,rvtlc_predicted,rvtlc_lln,rvtlc_uln,rvtlc_z,rvtlc_pp,erv_predicted,erv_lln,erv_uln,erv_z,erv_pp,ic_predicted,ic_lln,ic_uln,ic_z,ic_pp,vc_predicted,vc_lln,vc_uln,vc_z,vc_pp,frc_mbw_predicted,frc_mbw_lln,frc_mbw_uln,frc_mbw_z,frc_mbw_pp,lci_predicted,lci_lln,lci_uln,lci_z,lci_pp
34,182,M,0,,4.374,3.382,5.316,0,0,5.352,4.15,6.573,0,0,0.821,0.717,0.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.332,8.906,14.119,0,0,33.848,26.604,42.174,0,0,1.616,4.826,1.285,1.97,3.838,5.885,0,0,0,0,7.056,5.783,8.421,0,0,3.517,2.392,4.944,0,0,7.543,6.077,9.028,0,0,1.632,0.821,2.655,0,0,21.484,11.968,31.628,0,0,1.83,0.873,3.091,0,0,4.058,2.916,5.154,0,0,5.923,4.753,7.126,0,0,3.863,2.746,5.108,0,0,6.192,5.499,7.013,0,0
34,182,F,0,,3.886,2.972,4.756,0,0,4.729,3.638,5.846,0,0,0.829,0.722,0.912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.799,6.999,10.93,0,0,26.282,20.905,32.649,0,0,1.411,4.215,1.115,1.743,3.332,5.205,0,0,0,0,6.224,5.155,7.39,0,0,3.486,2.46,4.784,0,0,6.685,5.462,8.041,0,0,1.585,0.849,2.597,0,0,23.173,13.491,33.743,0,0,1.782,0.912,2.918,0,0,3.264,2.272,4.264,0,0,5.068,4.063,6.065,0,0,3.697,2.628,4.888,0,0,6.192,5.499,7.013,0,0
34,183,M,0,,4.433,3.428,5.389,0,0,5.433,4.212,6.672,0,0,0.82,0.717,0.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.458,9.005,14.276,0,0,34.225,26.899,42.643,0,0,1.612,4.815,1.282,1.966,3.829,5.872,0,0,0,0,7.15,5.861,8.533,0,0,3.57,2.428,5.019,0,0,7.639,6.154,9.143,0,0,1.653,0.832,2.69,0,0,21.482,11.967,31.625,0,0,1.865,0.89,3.151,0,0,4.107,2.951,5.216,0,0,5.999,4.814,7.217,0,0,3.939,2.802,5.206,0,0,6.192,5.499,7.013,0,0
34,183,F,0,,3.937,3.011,4.819,0,0,4.797,3.691,5.93,0,0,0.828,0.722,0.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.877,7.061,11.028,0,0,26.516,21.091,32.939,0,0,1.406,4.201,1.112,1.736,3.32,5.187,0,0,0,0,6.299,5.217,7.479,0,0,3.536,2.495,4.853,0,0,6.767,5.529,8.139,0,0,1.607,0.861,2.634,0,0,23.172,13.49,33.742,0,0,1.811,0.926,2.964,0,0,3.301,2.298,4.312,0,0,5.127,4.11,6.136,0,0,3.77,2.681,4.982,0,0,6.192,5.499,7.013,0,0
34,184,M,0,,4.493,3.474,5.461,0,0,5.514,4.275,6.772,0,0,0.819,0.716,0.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.585,9.105,14.434,0,0,34.603,27.197,43.114,0,0,1.608,4.804,1.279,1.961,3.821,5.859,0,0,0,0,7.246,5.939,8.647,0,0,3.624,2.465,5.095,0,0,7.736,6.232,9.26,0,0,1.675,0.843,2.725,0,0,21.48,11.965,31.622,0,0,1.901,0.907,3.211,0,0,4.156,2.986,5.279,0,0,6.075,4.875,7.308,0,0,4.017,2.859,5.307,0,0,6.192,5.499,7.013,0,0
34,184,F,0,,3.989,3.05,4.882,0,0,4.866,3.744,6.016,0,0,0.827,0.721,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.956,7.123,11.125,0,0,26.751,21.278,33.231,0,0,1.401,4.186,1.108,1.73,3.309,5.169,0,0,0,0,6.374,5.279,7.568,0,0,3.586,2.531,4.922,0,0,6.849,5.597,8.239,0,0,1.629,0.873,2.67,0,0,23.171,13.49,33.741,0,0,1.839,0.941,3.011,0,0,3.337,2.323,4.36,0,0,5.187,4.158,6.207,0,0,3.844,2.736,5.079,0,0,6.192,5.499,7.013,0,0
34,185,M,0,,4.553,3.521,5.535,0,0,5.596,4.339,6.872,0,0,0.818,0.715,0.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.712,9.205,14.593,0,0,34.984,27.496,43.589,0,0,1.605,4.793,1.276,1.957,3.812,5.846,0,0,0,0,7.342,6.018,8.762,0,0,3.679,2.502,5.172,0,0,7.834,6.311,9.376,0,0,1.697,0.854,2.761,0,0,21.479,11.964,31.619,0,0,1.937,0.924,3.272,0,0,4.206,3.022,5.342,0,0,6.151,4.936,7.4,0,0,4.096,2.917,5.41,0,0,6.192,5.499,7.013,0,0
34,185,F,0,,4.041,3.09,4.945,0,0,4.936,3.798,6.102,0,0,0.826,0.72,0.909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.035,7.186,11.223,0,0,26.987,21.465,33.524,0,0,1.396,4.171,1.104,1.724,3.297,5.151,0,0,0,0,6.45,5.342,7.658,0,0,3.637,2.567,4.992,0,0,6.933,5.665,8.339,0,0,1.652,0.885,2.707,0,0,23.17,13.489,33.74,0,0,1.868,0.956,3.058,0,0,3.374,2.349,4.408,0,0,5.246,4.206,6.279,0,0,3.92,2.792,5.177,0,0,6.192,5.499,7.013,0,0
34,186,M,0,,4.614,3.568,5.609,0,0,5.679,4.403,6.974,0,0,0.817,0.714,0.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.84,9.306,14.752,0,0,35.366,27.797,44.065,0,0,1.601,4.783,1.273,1.953,3.803,5.832,0,0,0,0,7.439,6.097,8.877,0,0,3.734,2.54,5.25,0,0,7.932,6.39,9.494,0,0,1.72,0.865,2.798,0,0,21.477,11.963,31.617,0,0,1.974,0.941,3.334,0,0,4.255,3.058,5.405,0,0,6.228,4.998,7.493,0,0,4.177,2.977,5.515,0,0,6.192,5.499,7.013,0,0
34,186,F,0,,4.093,3.13,5.009,0,0,5.006,3.852,6.189,0,0,0.825,0.719,0.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.114,7.249,11.322,0,0,27.223,21.653,33.818,0,0,1.392,4.157,1.1,1.718,3.285,5.133,0,0,0,0,6.527,5.405,7.749,0,0,3.689,2.603,5.063,0,0,7.016,5.733,8.439,0,0,1.675,0.897,2.745,0,0,23.17,13.489,33.738,0,0,1.897,0.97,3.106,0,0,3.412,2.375,4.457,0,0,5.307,4.254,6.351,0,0,3.998,2.849,5.277,0,0,6.192,5.499,7.013,0,0
